Date,Close,t,log_close,t_squared,date,month,year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2017-04-01,4,40,1.3862943611198906,1600,2017-04-01,Apr,2017,True,False,False,False,False,False,False,False,False,False,False,False
2017-05-01,5,41,1.6094379124341003,1681,2017-05-01,May,2017,False,False,False,False,False,False,False,False,True,False,False,False
2017-06-01,5,42,1.6094379124341003,1764,2017-06-01,Jun,2017,False,False,False,False,False,False,True,False,False,False,False,False
2017-07-01,5,43,1.6094379124341003,1849,2017-07-01,Jul,2017,False,False,False,False,False,True,False,False,False,False,False,False
2017-08-01,6,44,1.791759469228055,1936,2017-08-01,Aug,2017,False,True,False,False,False,False,False,False,False,False,False,False
2017-09-01,5,45,1.6094379124341003,2025,2017-09-01,Sep,2017,False,False,False,False,False,False,False,False,False,False,False,True
2017-10-01,5,46,1.6094379124341003,2116,2017-10-01,Oct,2017,False,False,False,False,False,False,False,False,False,False,True,False
2017-11-01,5,47,1.6094379124341003,2209,2017-11-01,Nov,2017,False,False,False,False,False,False,False,False,False,True,False,False
2017-12-01,5,48,1.6094379124341003,2304,2017-12-01,Dec,2017,False,False,True,False,False,False,False,False,False,False,False,False
2018-01-01,5,49,1.6094379124341003,2401,2018-01-01,Jan,2018,False,False,False,False,True,False,False,False,False,False,False,False
2018-02-01,5,50,1.6094379124341003,2500,2018-02-01,Feb,2018,False,False,False,True,False,False,False,False,False,False,False,False
2018-03-01,5,51,1.6094379124341003,2601,2018-03-01,Mar,2018,False,False,False,False,False,False,False,True,False,False,False,False
2018-04-01,5,52,1.6094379124341003,2704,2018-04-01,Apr,2018,True,False,False,False,False,False,False,False,False,False,False,False
2018-05-01,4,53,1.3862943611198906,2809,2018-05-01,May,2018,False,False,False,False,False,False,False,False,True,False,False,False
2018-06-01,4,54,1.3862943611198906,2916,2018-06-01,Jun,2018,False,False,False,False,False,False,True,False,False,False,False,False
2018-07-01,5,55,1.6094379124341003,3025,2018-07-01,Jul,2018,False,False,False,False,False,True,False,False,False,False,False,False
2018-08-01,5,56,1.6094379124341003,3136,2018-08-01,Aug,2018,False,True,False,False,False,False,False,False,False,False,False,False
2018-09-01,5,57,1.6094379124341003,3249,2018-09-01,Sep,2018,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-01,5,58,1.6094379124341003,3364,2018-10-01,Oct,2018,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-01,5,59,1.6094379124341003,3481,2018-11-01,Nov,2018,False,False,False,False,False,False,False,False,False,True,False,False
2018-12-01,5,60,1.6094379124341003,3600,2018-12-01,Dec,2018,False,False,True,False,False,False,False,False,False,False,False,False
2019-01-01,5,61,1.6094379124341003,3721,2019-01-01,Jan,2019,False,False,False,False,True,False,False,False,False,False,False,False
2019-02-01,5,62,1.6094379124341003,3844,2019-02-01,Feb,2019,False,False,False,True,False,False,False,False,False,False,False,False
2019-03-01,4,63,1.3862943611198906,3969,2019-03-01,Mar,2019,False,False,False,False,False,False,False,True,False,False,False,False
2019-04-01,4,64,1.3862943611198906,4096,2019-04-01,Apr,2019,True,False,False,False,False,False,False,False,False,False,False,False
2019-05-01,4,65,1.3862943611198906,4225,2019-05-01,May,2019,False,False,False,False,False,False,False,False,True,False,False,False
2019-06-01,4,66,1.3862943611198906,4356,2019-06-01,Jun,2019,False,False,False,False,False,False,True,False,False,False,False,False
2019-07-01,4,67,1.3862943611198906,4489,2019-07-01,Jul,2019,False,False,False,False,False,True,False,False,False,False,False,False
2019-08-01,3,68,1.0986122886681098,4624,2019-08-01,Aug,2019,False,True,False,False,False,False,False,False,False,False,False,False
2019-09-01,3,69,1.0986122886681098,4761,2019-09-01,Sep,2019,False,False,False,False,False,False,False,False,False,False,False,True
2019-10-01,3,70,1.0986122886681098,4900,2019-10-01,Oct,2019,False,False,False,False,False,False,False,False,False,False,True,False
2019-11-01,3,71,1.0986122886681098,5041,2019-11-01,Nov,2019,False,False,False,False,False,False,False,False,False,True,False,False
2019-12-01,3,72,1.0986122886681098,5184,2019-12-01,Dec,2019,False,False,True,False,False,False,False,False,False,False,False,False
2020-01-01,3,73,1.0986122886681098,5329,2020-01-01,Jan,2020,False,False,False,False,True,False,False,False,False,False,False,False
2020-02-01,3,74,1.0986122886681098,5476,2020-02-01,Feb,2020,False,False,False,True,False,False,False,False,False,False,False,False
2020-03-01,3,75,1.0986122886681098,5625,2020-03-01,Mar,2020,False,False,False,False,False,False,False,True,False,False,False,False
2020-04-01,3,76,1.0986122886681098,5776,2020-04-01,Apr,2020,True,False,False,False,False,False,False,False,False,False,False,False
2020-05-01,3,77,1.0986122886681098,5929,2020-05-01,May,2020,False,False,False,False,False,False,False,False,True,False,False,False
2020-06-01,3,78,1.0986122886681098,6084,2020-06-01,Jun,2020,False,False,False,False,False,False,True,False,False,False,False,False
2020-07-01,3,79,1.0986122886681098,6241,2020-07-01,Jul,2020,False,False,False,False,False,True,False,False,False,False,False,False
2020-08-01,4,80,1.3862943611198906,6400,2020-08-01,Aug,2020,False,True,False,False,False,False,False,False,False,False,False,False
2020-09-01,4,81,1.3862943611198906,6561,2020-09-01,Sep,2020,False,False,False,False,False,False,False,False,False,False,False,True
2020-10-01,4,82,1.3862943611198906,6724,2020-10-01,Oct,2020,False,False,False,False,False,False,False,False,False,False,True,False
2020-11-01,5,83,1.6094379124341003,6889,2020-11-01,Nov,2020,False,False,False,False,False,False,False,False,False,True,False,False
2020-12-01,5,84,1.6094379124341003,7056,2020-12-01,Dec,2020,False,False,True,False,False,False,False,False,False,False,False,False
2021-01-01,6,85,1.791759469228055,7225,2021-01-01,Jan,2021,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-01,6,86,1.791759469228055,7396,2021-02-01,Feb,2021,False,False,False,True,False,False,False,False,False,False,False,False
2021-03-01,6,87,1.791759469228055,7569,2021-03-01,Mar,2021,False,False,False,False,False,False,False,True,False,False,False,False
2021-04-01,6,88,1.791759469228055,7744,2021-04-01,Apr,2021,True,False,False,False,False,False,False,False,False,False,False,False
2021-05-01,7,89,1.9459101490553132,7921,2021-05-01,May,2021,False,False,False,False,False,False,False,False,True,False,False,False
2021-06-01,8,90,2.0794415416798357,8100,2021-06-01,Jun,2021,False,False,False,False,False,False,True,False,False,False,False,False
2021-07-01,8,91,2.0794415416798357,8281,2021-07-01,Jul,2021,False,False,False,False,False,True,False,False,False,False,False,False
2021-08-01,8,92,2.0794415416798357,8464,2021-08-01,Aug,2021,False,True,False,False,False,False,False,False,False,False,False,False
2021-09-01,9,93,2.1972245773362196,8649,2021-09-01,Sep,2021,False,False,False,False,False,False,False,False,False,False,False,True
2021-10-01,9,94,2.1972245773362196,8836,2021-10-01,Oct,2021,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-01,8,95,2.0794415416798357,9025,2021-11-01,Nov,2021,False,False,False,False,False,False,False,False,False,True,False,False
2021-12-01,9,96,2.1972245773362196,9216,2021-12-01,Dec,2021,False,False,True,False,False,False,False,False,False,False,False,False
2022-01-01,8,97,2.0794415416798357,9409,2022-01-01,Jan,2022,False,False,False,False,True,False,False,False,False,False,False,False
2022-02-01,7,98,1.9459101490553132,9604,2022-02-01,Feb,2022,False,False,False,True,False,False,False,False,False,False,False,False
2022-03-01,7,99,1.9459101490553132,9801,2022-03-01,Mar,2022,False,False,False,False,False,False,False,True,False,False,False,False
2022-04-01,7,100,1.9459101490553132,10000,2022-04-01,Apr,2022,True,False,False,False,False,False,False,False,False,False,False,False
2022-05-01,6,101,1.791759469228055,10201,2022-05-01,May,2022,False,False,False,False,False,False,False,False,True,False,False,False
2022-06-01,5,102,1.6094379124341003,10404,2022-06-01,Jun,2022,False,False,False,False,False,False,True,False,False,False,False,False
2022-07-01,5,103,1.6094379124341003,10609,2022-07-01,Jul,2022,False,False,False,False,False,True,False,False,False,False,False,False
2022-08-01,5,104,1.6094379124341003,10816,2022-08-01,Aug,2022,False,True,False,False,False,False,False,False,False,False,False,False
